old	new
BMK6000_BasalFungi_Opisthokonta	BMK6000_Aphelidiomycota_Opisthokonta
BMK6076_InSedAlveolata_Alveolata	BMK6076_Perkinsidae_Alveolata
BMK6084_BasalFungi_Opisthokonta	BMK6084_NCLC1_Opisthokonta
BMK6085_InSedOpisthokonta_Opisthokonta	BMK6085_InSedEukaryota_OtherEukaryota
BMK6116_Perkinsidae_Alveolata	BMK6116_InSedAlveolata_Alveolata
BMK6125_BasalFungi_Opisthokonta	BMK6125_Rozellomycota_Opisthokonta
BMK6137_Choanoflagellata_Opisthokonta	BMK6137_InSedOpisthokonta_Opisthokonta
BMK6142_InSedOpisthokonta_Opisthokonta	BMK6142_InSedEukaryota_OtherEukaryota
BMK6166_BasalFungi_Opisthokonta	BMK6166_Rotosphaerida_Opisthokonta
BMK6216_BasalFungi_Opisthokonta	BMK6216_Chytridiomycota_Opisthokonta
BMK6250_InSedOpisthokonta_Opisthokonta	BMK6250_InSedEukaryota_OtherEukaryota
BMK6332_Perkinsidae_Alveolata	BMK6332_InSedAlveolata_Alveolata
BMK6342_InSedOpisthokonta_Opisthokonta	BMK6342_InSedEukaryota_OtherEukaryota
BMK6456_BasalFungi_Opisthokonta	BMK6456_Rotosphaerida_Opisthokonta
BMK6586_InSedAlveolata_Alveolata	BMK6586_Perkinsidae_Alveolata
BMK6680_BasalFungi_Opisthokonta	BMK6680_Rotosphaerida_Opisthokonta
BMK6693_BasalFungi_Opisthokonta	BMK6693_Chytridiomycota_Opisthokonta
BMK6697_InSedOpisthokonta_Opisthokonta	BMK6697_InSedEukaryota_OtherEukaryota
BMK6768_BasalFungi_Opisthokonta	BMK6768_InSedEukaryota_OtherEukaryota
BMK6814_BasalFungi_Opisthokonta	BMK6814_Rotosphaerida_Opisthokonta
BMK6835_InSedAlveolata_Alveolata	BMK6835_Perkinsidae_Alveolata
BMK6867_BasalFungi_Opisthokonta	BMK6867_Aphelidiomycota_Opisthokonta
BMK6910_InSedOpisthokonta_Opisthokonta	BMK6910_InSedEukaryota_OtherEukaryota
BMK6968_InSedOpisthokonta_Opisthokonta	BMK6968_InSedEukaryota_OtherEukaryota
BMK6976_BasalFungi_Opisthokonta	BMK6976_Rozellomycota_Opisthokonta
BMK6980_InSedAlveolata_Alveolata	BMK6980_Perkinsidae_Alveolata
BMK7058_BasalFungi_Opisthokonta	BMK7058_Rotosphaerida_Opisthokonta
BMK7101_BasalFungi_Opisthokonta	BMK7101_Chytridiomycota_Opisthokonta
BMK7210_InSedAlveolata_Alveolata	BMK7210_Perkinsidae_Alveolata
BMK7287_BasalFungi_Opisthokonta	BMK7287_Rotosphaerida_Opisthokonta
BMK7421_InSedOpisthokonta_Opisthokonta	BMK7421_Aphelidiomycota_Opisthokonta
BMK7686_BasalFungi_Opisthokonta	BMK7686_Rotosphaerida_Opisthokonta
BMK7709_InSedAlveolata_Alveolata	BMK7709_Perkinsidae_Alveolata
BMK7739_BasalFungi_Opisthokonta	BMK7739_Chytridiomycota_Opisthokonta
BMK7766_BasalFungi_Opisthokonta	BMK7766_Rozellomycota_Opisthokonta
BMK7795_InSedAlveolata_Alveolata	BMK7795_Perkinsidae_Alveolata
BMK8021_BasalFungi_Opisthokonta	BMK8021_Rotosphaerida_Opisthokonta
BMK8031_InSedAlveolata_Alveolata	BMK8031_Perkinsidae_Alveolata
BMK8237_Apicomplexa_Alveolata	BMK8237_Colpodellida_Alveolata
BMK8395_BasalFungi_Opisthokonta	BMK8395_Rotosphaerida_Opisthokonta
BMK8507_InSedAlveolata_Alveolata	BMK8507_Perkinsidae_Alveolata
BMK8625_BasalFungi_Opisthokonta	BMK8625_Rotosphaerida_Opisthokonta
BMK8847_BasalFungi_Opisthokonta	BMK8847_NCLC1_Opisthokonta
BMK9027_InSedOpisthokonta_Opisthokonta	BMK9027_InSedOpisthokonta_Opisthokonta
BMK9088_InSedAlveolata_Alveolata	BMK9088_Perkinsidae_Alveolata
BMK9320_BasalFungi_Opisthokonta	BMK9320_Rotosphaerida_Opisthokonta
BMK9386_BasalFungi_Opisthokonta	BMK9386_Chytridiomycota_Opisthokonta
BMK963_InSedAlveolata_Alveolata	BMK963_Perkinsidae_Alveolata
BMK9732_Apicomplexa_Alveolata	BMK9732_Colpodellida_Alveolata
BMK989_BasalFungi_Opisthokonta	BMK989_Chytridiomycota_Opisthokonta
BMK9932_BasalFungi_Opisthokonta	BMK9932_Rozellomycota_Opisthokonta
SLVEF100326_Apicomplexa_Alveolata	SLVEF100326_InSedAlveolata_Alveolata
SLVEF527175_InSedAlveolata_Alveolata	SLVEF527175_Perkinsidae_Alveolata
SLVGDKJ01015996_Apicomplexa_Alveolata	SLVGDKJ01015996_Colpodellida_Alveolata
SLVGU820015_Perkinsidae_Alveolata	SLVGU820015_InSedAlveolata_Alveolata
SLVHM135038_Cryptomonadales_Cryptista	SLVHM135038_Nucleomorph_OtherEukaryota
SLVJF730760_Perkinsidae_Alveolata	SLVJF730760_InSedAlveolata_Alveolata
SLVKJ757203_Perkinsidae_Alveolata	SLVKJ757203_InSedAlveolata_Alveolata
SLVKT364261_Apicomplexa_Alveolata	SLVKT364261_Colpodellida_Alveolata
MPN1139_InSedOpisthokonta_Opisthokonta	MPN1139_InSedEukaryota_OtherEukaryota
MPN1298_InSedEukaryota_OtherEukaryota	MPN1298_Bicosoecida_Stramenopiles
MPN1538_InSedOpisthokonta_Opisthokonta	MPN1538_InSedEukaryota_OtherEukaryota
MPN2089_InSedStramenopiles_Stramenopiles	MPN2089_MAST-1_Stramenopiles
MPN2519_InSedOpisthokonta_Opisthokonta	MPN2519_InSedEukaryota_OtherEukaryota
MPN2611_InSedOpisthokonta_Opisthokonta	MPN2611_InSedEukaryota_OtherEukaryota
MPN296_InSedOpisthokonta_Opisthokonta	MPN296_InSedEukaryota_OtherEukaryota
MPN297_InSedEukaryota_OtherEukaryota	MPN297_Bicosoecida_Stramenopiles
MPN3074_InSedAlveolata_Alveolata	MPN3074_Perkinsidae_Alveolata
MPN3155_InSedAlveolata_Alveolata	MPN3155_Perkinsidae_Alveolata
MPN3476_InSedAlveolata_Alveolata	MPN3476_Perkinsidae_Alveolata
MPN3595_InSedAlveolata_Alveolata	MPN3595_Perkinsidae_Alveolata
MPN3884_Cantina_Stramenopiles	MPN3884_Bicosoecida_Stramenopiles
MPN418_InSedOpisthokonta_Opisthokonta	MPN418_InSedEukaryota_OtherEukaryota
MPN424_InSedOpisthokonta_Opisthokonta	MPN424_InSedEukaryota_OtherEukaryota
MPN4260_InSedOpisthokonta_Opisthokonta	MPN4260_InSedEukaryota_OtherEukaryota
MPN4420_InSedEukaryota_OtherEukaryota	MPN4420_Apicomplexa_Alveolata
MPN4443_BasalFungi_Opisthokonta	MPN4443_Chytridiomycota_Opisthokonta
MPN4483_InSedAlveolata_Alveolata	MPN4483_Perkinsidae_Alveolata
MPN4512_InSedAlveolata_Alveolata	MPN4512_Perkinsidae_Alveolata
MPN4533_InSedArchaeplastida_Archaeplastida	MPN4533_InSedEukaryota_OtherEukaryota
MPN4643_InSedOpisthokonta_Opisthokonta	MPN4643_InSedEukaryota_OtherEukaryota
MPN4676_InSedArchaeplastida_Archaeplastida	MPN4676_InSedEukaryota_OtherEukaryota
MPN5078_InSedArchaeplastida_Archaeplastida	MPN5078_InSedEukaryota_OtherEukaryota
MPN5204_InSedArchaeplastida_Archaeplastida	MPN5204_InSedEukaryota_OtherEukaryota
MPN5265_BasalFungi_Opisthokonta	MPN5265_Rotosphaerida_Opisthokonta
MPN5342_BasalFungi_Opisthokonta	MPN5342_Rotosphaerida_Opisthokonta
MPN5350_InSedArchaeplastida_Archaeplastida	MPN5350_InSedEukaryota_OtherEukaryota
MPN5539_InSedOpisthokonta_Opisthokonta	MPN5539_InSedEukaryota_OtherEukaryota
MPN5954_InSedAlveolata_Alveolata	MPN5954_Apicomplexa_Alveolata
MPN6387_InSedArchaeplastida_Archaeplastida	MPN6387_InSedEukaryota_OtherEukaryota
MPN732_InSedOpisthokonta_Opisthokonta	MPN732_InSedEukaryota_OtherEukaryota
MPN829_InSedAlveolata_Alveolata	MPN829_Perkinsidae_Alveolata
MPN833_InSedEukaryota_OtherEukaryota	MPN833_Bicosoecida_Stramenopiles
MPN9559_InSedOpisthokonta_Opisthokonta	MPN9559_InSedEukaryota_OtherEukaryota
SLVAB016009_BasalFungi_Opisthokonta	SLVAB016009_Zoopagomyceta_Opisthokonta
SLVAB016010_BasalFungi_Opisthokonta	SLVAB016010_Zoopagomyceta_Opisthokonta
SLVAB016011_BasalFungi_Opisthokonta	SLVAB016011_Zoopagomyceta_Opisthokonta
SLVAB016012_BasalFungi_Opisthokonta	SLVAB016012_Zoopagomyceta_Opisthokonta
SLVAB016013_BasalFungi_Opisthokonta	SLVAB016013_Zoopagomyceta_Opisthokonta
SLVAB016015_BasalFungi_Opisthokonta	SLVAB016015_Mucoromycota_Opisthokonta
SLVAB016023_BasalFungi_Opisthokonta	SLVAB016023_Zoopagomyceta_Opisthokonta
SLVAB047303_BasalFungi_Opisthokonta	SLVAB047303_Glomeromycota_Opisthokonta
SLVAB191432_BasalFungi_Opisthokonta	SLVAB191432_Aphelidiomycota_Opisthokonta
SLVAB196322_BasalFungi_Opisthokonta	SLVAB196322_Zoopagomyceta_Opisthokonta
SLVAB250163_BasalFungi_Opisthokonta	SLVAB250163_Mucoromycota_Opisthokonta
SLVAB250172_BasalFungi_Opisthokonta	SLVAB250172_Mucoromycota_Opisthokonta
SLVAB252775_Rotosphaerida_Opisthokonta	SLVAB252775_Aphelidiomycota_Opisthokonta
